Date,Open,High,Low,Close,Adj Close,Volume
2020-05-26,82000.000000,82000.000000,82000.000000,82000.000000,82000.000000,256
2020-05-27,80000.000000,80000.000000,80000.000000,80000.000000,80000.000000,1128
2020-05-28,74000.000000,74000.000000,74000.000000,74000.000000,74000.000000,292078
2020-05-29,76500.000000,76500.000000,76500.000000,76500.000000,76500.000000,691
2020-06-01,76500.000000,76500.000000,76500.000000,76500.000000,76500.000000,1208
2020-06-02,76500.000000,76500.000000,76500.000000,76500.000000,76500.000000,695
2020-06-03,77500.000000,77500.000000,77500.000000,77500.000000,77500.000000,316
2020-06-04,79800.000000,79800.000000,79800.000000,79800.000000,79800.000000,90
2020-06-05,78500.000000,78500.000000,78500.000000,78500.000000,78500.000000,8
2020-06-08,78500.000000,78500.000000,78500.000000,78500.000000,78500.000000,25
2020-06-09,72100.000000,72100.000000,72100.000000,72100.000000,72100.000000,4128
2020-06-10,75000.000000,75000.000000,75000.000000,75000.000000,75000.000000,2040
2020-06-11,81000.000000,81000.000000,81000.000000,81000.000000,81000.000000,80
2020-06-12,81000.000000,81000.000000,81000.000000,81000.000000,81000.000000,18
2020-06-16,71005.000000,71005.000000,71005.000000,71005.000000,71005.000000,572
2020-06-17,71000.000000,71000.000000,71000.000000,71000.000000,71000.000000,27527
2020-06-18,71000.000000,71000.000000,71000.000000,71000.000000,71000.000000,158
2020-06-19,71000.000000,71000.000000,71000.000000,71000.000000,71000.000000,195
2020-06-22,71000.000000,71000.000000,71000.000000,71000.000000,71000.000000,287
2020-06-23,71000.000000,71000.000000,71000.000000,71000.000000,71000.000000,192
2020-06-25,70000.000000,70000.000000,70000.000000,70000.000000,70000.000000,4264
2020-06-26,70000.000000,70000.000000,70000.000000,70000.000000,70000.000000,250
2020-06-30,70000.000000,70000.000000,70000.000000,70000.000000,70000.000000,210
2020-07-01,70000.000000,70000.000000,70000.000000,70000.000000,70000.000000,136
2020-07-02,68000.000000,68000.000000,68000.000000,68000.000000,68000.000000,14
2020-07-03,68000.000000,68000.000000,68000.000000,68000.000000,68000.000000,8
2020-07-06,68000.000000,68000.000000,68000.000000,68000.000000,68000.000000,238
