Date,Price,Open,High,Low,Vol.,Change %
2018-12-03,11.04,11.99,11.99,11.00,91.11K,5.95%
2018-11-30,10.42,9.00,11.00,9.00,185.10K,24.20%
2018-11-29,8.39,7.10,8.50,7.10,63.43K,8.12%
2018-11-28,7.76,7.00,8.00,7.00,263.39K,17.04%
2018-11-27,6.63,6.25,7.00,6.25,105.85K,9.41%
2018-11-26,6.06,6.00,6.25,6.00,128.44K,1.00%
2018-11-23,6.00,6.00,6.00,6.00,30.54K,-0.17%
2018-11-22,6.01,6.15,6.15,6.00,7.70K,0.00%
2018-11-21,6.01,7.00,7.00,5.99,302.18K,-6.53%
2018-11-20,6.43,6.50,6.50,6.00,13.03K,-1.38%
2018-11-19,6.52,6.50,6.70,6.50,266.89K,0.77%
2018-11-16,6.47,6.50,6.65,6.40,140.70K,1.57%
2018-11-15,6.37,6.48,6.48,6.25,74.93K,-2.30%
2018-11-14,6.52,7.00,7.00,6.45,107.77K,-1.06%
2018-11-13,6.59,6.70,6.95,6.45,3.25M,-2.80%
2018-11-12,6.78,7.00,7.00,6.69,33.41K,0.30%
2018-11-09,6.76,6.50,7.00,6.50,120.08K,4.48%
2018-11-08,6.47,6.40,6.50,6.40,181.81K,1.25%
2018-11-07,6.39,6.40,6.40,6.20,125.77K,3.06%
2018-11-06,6.20,6.50,6.50,6.00,40.10K,2.65%
2018-11-02,6.04,6.00,6.30,6.00,144.87K,3.25%
2018-11-01,5.85,5.99,5.99,5.82,44.56K,3.36%
2018-10-31,5.66,5.51,5.85,5.51,55.51K,-0.35%
2018-10-30,5.68,6.50,6.50,5.50,81.86K,-9.12%
2018-10-29,6.25,6.20,6.40,6.20,212.55K,4.34%
2018-10-26,5.99,5.85,6.40,5.85,61.58K,6.96%
2018-10-25,5.60,5.20,5.85,5.20,403.93K,9.59%
2018-10-24,5.11,5.05,5.28,5.05,44.75K,0.59%
2018-10-23,5.08,5.10,5.30,5.05,41.29K,-9.93%
2018-10-22,5.64,5.83,5.83,5.30,35.65K,-4.73%
2018-10-19,5.92,6.50,6.50,5.40,10.80K,-3.43%
2018-10-18,6.13,6.00,6.50,5.99,1.71M,0.99%
2018-10-17,6.07,6.00,6.35,5.81,73.06K,10.16%
2018-10-16,5.51,5.45,6.00,5.45,2.09M,6.99%
2018-10-15,5.15,5.20,5.45,5.00,263.47K,21.75%
2018-10-11,4.23,4.15,4.65,4.09,64.24K,3.17%
2018-10-10,4.10,4.17,4.17,4.00,15.05K,-2.15%
2018-10-09,4.19,4.25,4.25,4.18,9.86K,-3.46%
2018-10-08,4.34,4.41,4.41,4.25,12.67K,-1.14%
2018-10-05,4.39,4.41,4.41,4.35,90.59K,-1.35%
2018-10-04,4.45,4.60,4.60,4.41,182.35K,-1.77%
2018-10-03,4.53,4.50,4.60,4.50,496.80K,0.44%
2018-10-02,4.51,4.50,4.60,4.50,85.04K,2.73%
2018-10-01,4.39,4.49,4.50,4.35,89.74K,0.69%
2018-09-28,4.36,4.35,4.45,4.35,89.99K,0.93%
2018-09-27,4.32,4.50,4.50,4.20,70.28K,1.17%
2018-09-26,4.27,4.18,4.40,4.14,153.02K,4.40%
2018-09-25,4.09,4.18,4.18,4.00,89.99K,2.51%
2018-09-24,3.99,4.10,4.35,3.95,133.99K,-1.24%
2018-09-21,4.04,4.30,4.30,4.00,35.75K,-5.16%
2018-09-20,4.26,4.45,4.50,4.10,25.34K,0.47%
2018-09-19,4.24,4.55,4.55,4.05,130.72K,6.00%
2018-09-18,4.00,4.25,4.70,4.20,101.37K,-20.00%
2018-09-17,5.00,4.90,4.90,4.50,133.00K,0.00%
2018-09-14,5.00,4.90,4.95,4.75,47.17K,0.00%
2018-09-13,5.00,5.30,5.30,4.90,45.24K,0.00%
2018-09-12,5.00,5.40,5.40,4.90,113.54K,-16.67%
2018-09-11,6.00,6.00,6.00,5.35,30.00K,0.00%
2018-09-07,6.00,5.80,5.90,5.30,35.52K,20.00%
2018-09-06,5.00,5.55,5.55,5.05,16.00K,-16.67%
2018-09-05,6.00,5.90,5.90,5.60,24.66K,0.00%
2018-09-04,6.00,6.00,6.00,5.50,18.72K,0.00%
2018-09-03,6.00,6.00,6.00,5.15,1.72M,0.00%
2018-08-31,6.00,5.95,5.95,5.50,26.63K,0.00%
2018-08-30,6.00,6.00,6.00,5.80,6.74K,0.00%
2018-08-29,6.00,6.00,6.20,5.50,31.20K,0.00%
2018-08-28,6.00,5.85,5.99,5.00,83.59K,0.00%
2018-08-27,6.00,6.79,6.79,5.50,26.66K,-14.29%
2018-08-24,7.00,7.44,7.44,6.00,214.77K,0.00%
2018-08-23,7.00,6.90,7.80,6.90,33.37K,16.67%
2018-08-22,6.00,6.00,6.90,6.00,2.17M,0.00%
2018-08-21,6.00,4.40,6.39,3.91,15.12K,60.00%
2018-08-16,3.75,2.50,4.00,2.50,115.15K,70.45%
2018-08-15,2.20,1.92,2.35,1.90,30.62K,26.44%
2018-08-14,1.74,1.50,1.92,1.50,114.44K,16.00%
2018-08-13,1.50,1.70,1.70,1.45,3.24M,-15.25%
2018-08-10,1.77,1.70,2.00,1.70,48.14K,21.23%
2018-08-09,1.46,1.39,1.59,1.33,133.35K,9.77%
2018-08-08,1.33,1.35,1.35,1.30,4.55M,0.00%
