"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2018","71,000","71,000","71,000","71,000","0.31K","22.41%"
"Jun 08, 2018","58,000","58,000","71,000","58,000","1.00K","-19.44%"
"Jun 07, 2018","72,000","71,500","71,500","71,500","2.53K","0.00%"
"Jun 06, 2018","72,000","71,950","71,950","71,930","0.01K","20.00%"
"Jun 05, 2018","60,000","60,000","60,000","60,000","0.04K","9.09%"
"Jun 01, 2018","55,000","55,000","55,000","55,000","0.07K","1.85%"
"May 31, 2018","54,000","53,500","53,500","53,500","2.46K","1.89%"
"May 30, 2018","53,000","50,000","53,950","50,000","0.33K","17.78%"
"May 29, 2018","45,000","45,000","45,000","45,000","1.66K","7.14%"
"May 28, 2018","42,000","44,000","44,000","42,010","2.39K","-4.55%"
"May 25, 2018","44,000","44,000","44,000","44,000","1.25K","10.00%"
"May 23, 2018","40,000","40,000","40,000","40,000","1.89K","-2.44%"
"May 22, 2018","41,000","41,000","41,000","41,000","0.01K","2.50%"
"May 21, 2018","40,000","41,000","41,000","40,000","0.53K","0.00%"
"May 18, 2018","40,000","41,000","41,000","40,000","0.15K","-4.76%"
"May 17, 2018","42,000","42,250","42,250","42,250","0.50K","-4.55%"
"May 16, 2018","44,000","44,000","44,000","44,000","0.01K","10.00%"
"May 11, 2018","40,000","40,000","40,000","40,000","1.00K","-4.76%"
"May 10, 2018","42,000","42,200","42,200","42,200","0.27K","5.00%"
"May 08, 2018","40,000","40,000","40,000","40,000","0.25K","0.00%"
"May 07, 2018","40,000","40,000","42,000","40,000","0.28K","0.00%"
"May 04, 2018","40,000","40,000","40,000","40,000","0.65K","-9.09%"
"May 03, 2018","44,000","43,900","44,000","43,900","0.75K","4.76%"
"May 02, 2018","42,000","40,000","45,000","40,000","0.56K","-6.38%"
"Apr 27, 2018","44,862","44,000","45,000","44,000","0.30K","3.16%"
"Apr 26, 2018","43,488","44,900","44,900","42,000","0.57K","-3.36%"
"Apr 25, 2018","45,000","45,000","45,000","45,000","2.12K","-8.26%"
"Apr 24, 2018","49,049","50,000","50,000","40,200","12.81K","-1.57%"
"Apr 23, 2018","49,833","49,000","49,999","49,000","0.60K","8.08%"
"Apr 20, 2018","46,106","42,000","50,000","42,000","6.03K","12.97%"
"Apr 18, 2018","40,812","48,000","48,000","40,000","5.15K","-19.44%"
"Apr 17, 2018","50,660","51,000","51,000","49,000","2.86K","1.37%"
"Apr 16, 2018","49,977","45,000","50,000","45,000","3.03K","17.55%"
"Apr 13, 2018","42,516","40,000","45,000","40,000","5.64K","15.19%"
"Apr 12, 2018","36,911","35,000","38,000","35,000","6.55K","15.52%"
"Apr 11, 2018","31,952","30,000","32,000","30,000","6.96K","8.69%"
"Apr 10, 2018","29,397","29,200","29,400","29,200","0.51K","19.43%"
"Apr 09, 2018","24,615","24,500","25,100","24,500","2.66K","1.58%"
"Apr 06, 2018","24,233","24,300","24,300","24,000","4.45K","-1.41%"
"Apr 05, 2018","24,579","25,000","25,000","24,300","0.22K","-3.61%"
"Apr 04, 2018","25,500","25,500","25,500","25,500","0.19K","2.00%"
"Apr 03, 2018","25,000","25,000","25,000","25,000","0.57K","-3.85%"
"Apr 02, 2018","26,000","26,000","26,000","26,000","3.51K","0.00%"
"Mar 28, 2018","26,000","26,000","26,000","26,000","0.28K","1.10%"
"Mar 27, 2018","25,718","27,000","27,000","25,000","0.12K","-0.78%"
"Mar 26, 2018","25,921","27,000","27,000","25,000","0.91K","-4.08%"
"Mar 23, 2018","27,023","28,000","28,000","27,000","0.26K","-3.49%"
"Mar 22, 2018","28,000","28,000","28,000","28,000","0.21K","-2.81%"
"Mar 21, 2018","28,809","30,000","30,000","28,000","0.50K","-3.97%"
"Mar 20, 2018","30,000","30,000","30,000","30,000","0.27K","-1.81%"
"Mar 16, 2018","30,554","31,000","31,000","29,999","0.96K","-7.83%"
"Mar 15, 2018","33,150","33,150","33,150","33,150","0.76K","15.16%"
"Mar 14, 2018","28,785","31,000","35,000","28,000","1.96K","-1.74%"
"Mar 13, 2018","29,294","31,000","35,700","26,000","2.60K","16.03%"
"Mar 12, 2018","25,248","25,000","29,900","25,000","4.37K","0.99%"
"Mar 09, 2018","25,000","25,000","25,000","25,000","3.75K","-4.63%"
"Mar 08, 2018","26,213","23,999","26,390","23,999","7.76K","19.14%"
"Mar 07, 2018","22,002","22,000","22,500","21,990","7.08K","30.72%"
"Mar 06, 2018","16,832","16,795","20,000","16,795","1.37K","26.30%"
"Mar 05, 2018","13,327","11,998","14,000","11,998","2.07K","20.96%"
"Mar 02, 2018","11,018","11,000","11,760","11,000","4.15K","12.43%"
"Mar 01, 2018","9,800","9,800","9,800","9,800","0.40K","0.57%"
"Feb 28, 2018","9,744","9,500","10,000","9,500","9.76K","8.27%"
"Feb 27, 2018","9,000","9,000","9,000","9,000","0.00K","10.08%"
"Feb 26, 2018","8,176","7,800","8,999","7,800","0.85K","9.01%"
"Feb 22, 2018","7,500","7,500","7,500","7,500","3.85K","4.20%"
"Feb 21, 2018","7,198","7,000","7,500","7,000","25.30K","9.23%"
"Feb 20, 2018","6,590","6,590","6,590","6,590","1.00K","17.68%"
"Feb 19, 2018","5,600","5,600","5,600","5,600","3.62K","0.04%"
"Feb 15, 2018","5,598","5,500","5,600","5,500","0.96K","6.49%"
"Feb 09, 2018","5,257","4,600","5,300","4,600","0.73K","16.02%"
"Feb 08, 2018","4,531","4,500","4,550","4,500","0.32K","-1.50%"
"Feb 07, 2018","4,600","4,600","4,600","4,600","0.10K","0.00%"
"Feb 06, 2018","4,600","4,600","4,600","4,600","0.01K","14.94%"
"Feb 02, 2018","4,002","4,000","4,500","4,000","1.01K","-4.67%"
"Jan 31, 2018","4,198","4,198","4,198","4,198","0.30K","-16.54%"
"Jan 30, 2018","5,030","5,030","5,030","5,030","0.03K","19.82%"
"Jan 29, 2018","4,198","4,198","4,198","4,198","0.50K","22.21%"
"Jan 26, 2018","3,435","3,000","3,525","3,000","1.71K","16.92%"
"Jan 25, 2018","2,938","2,938","2,938","2,938","0.05K","8.81%"
"Jan 24, 2018","2,700","2,700","2,700","2,700","0.10K","10.20%"
"Jan 23, 2018","2,450","2,450","2,450","2,450","1.30K","0.00%"
"Jan 22, 2018","2,450","2,450","2,450","2,450","0.10K","2.30%"
"Jan 17, 2018","2,395","2,395","2,395","2,395","0.80K","19.75%"
"Jan 16, 2018","2,000","2,000","2,000","2,000","0.01K","8.70%"
"Jan 15, 2018","1,840","1,800","2,000","1,800","0.25K","2.22%"
"Jan 12, 2018","1,800","1,800","1,800","1,800","13.20K","0.00%"
"Jan 11, 2018","1,800","1,800","1,800","1,800","10.00K","0.17%"
"Jan 10, 2018","1,797","1,800","1,800","1,750","0.40K","-4.41%"
"Jan 09, 2018","1,880","1,890","1,890","1,800","0.23K","-0.53%"
"Jan 08, 2018","1,890","1,890","1,890","1,890","0.04K","-0.42%"
