Date,Price,Open,High,Low,Change %
2021-01-15,1545061,1546997,1546997,1546997,3.24%
2021-01-14,1496565,1498441,1498441,1498441,0.32%
2021-01-13,1491829,1493698,1493698,1493698,-0.61%
2021-01-12,1500988,1502869,1502869,1502869,2.36%
2021-01-11,1466406,1466406,1466406,1466406,0.13%
2021-01-08,1464571,1466406,1466406,1466406,11.43%
2021-01-07,1314365,1316013,1316013,1316013,7.02%
2021-01-06,1228128,1229667,1229667,1229667,4.78%
2021-01-05,1172055,1173524,1173524,1173524,5.40%
2021-01-04,1111982,1113376,1113376,1113376,0.56%
2021-01-01,1105845,1105845,1105845,1105845,0.00%
2020-12-30,1105815,1105815,1105815,1105815,1.79%
2020-12-29,1086335,1087697,1087697,1087697,5.06%
2020-12-28,1034039,1035335,1035335,1035335,-0.12%
2020-12-23,1035257,1036554,1036554,1036554,-2.41%
2020-12-22,1060806,1062136,1062136,1062136,-0.55%
2020-12-21,1066687,1068024,1068024,1068024,0.66%
2020-12-18,1059725,1061053,1061053,1061053,1.13%
2020-12-17,1047905,1049218,1049218,1049218,-2.32%
2020-12-16,1072754,1074098,1074098,1074098,-1.11%
2020-12-15,1084807,1086166,1086166,1086166,-1.57%
2020-12-11,1102064,1102064,1102064,1102064,1.89%
2020-12-10,1081640,1082996,1082996,1082996,0.41%
2020-12-09,1077223,1078573,1078573,1078573,-0.13%
2020-12-08,1078600,1082940,1082940,1079952,-0.40%
2020-12-07,1082940,1082940,1082940,1082940,-0.04%
2020-12-04,1083425,1084783,1084783,1084783,5.55%
2020-12-03,1026479,1027766,1027766,1027766,1.85%
2020-12-02,1007878,1009141,1009141,1009141,-2.84%
2020-12-01,1037324,1038624,1038624,1038624,-1.04%
2020-11-30,1048185,1049499,1049499,1049499,1.44%
2020-11-27,1033297,1034592,1034592,1034592,6.33%
2020-11-26,971749,972967,972967,972967,5.26%
2020-11-25,923192,924349,924349,924349,0.85%
2020-11-24,915445,916592,916592,916592,17.35%
2020-11-20,780070,781048,781048,781048,10.04%
2020-11-19,708925,709813,709813,709813,4.34%
2020-11-18,679453,680305,680305,680305,1.52%
2020-11-17,669298,670137,670137,670137,0.64%
2020-11-16,665046,665880,665880,665880,3.15%
2020-11-13,644707,645515,645515,645515,6.39%
2020-11-12,605957,606717,606717,606717,6.27%
2020-11-11,570193,570908,570908,570908,4.23%
2020-11-10,547072,547757,547757,547757,2.38%
2020-11-09,534380,535050,535050,535050,0.07%
2020-11-06,534008,534677,534677,534677,1.49%
2020-11-05,526162,526821,526821,526821,1.77%
2020-11-04,516991,517639,517639,517639,0.20%
2020-11-03,515939,516585,516585,516585,0.25%
2020-11-02,514629,515274,515274,515274,-0.61%
2020-10-30,517785,518434,518434,518434,2.48%
2020-10-29,505275,505909,505909,505909,3.75%
2020-10-28,486996,487607,487607,487607,3.61%
2020-10-27,470011,470600,470600,470600,1.49%
2020-10-26,463131,463711,463711,463711,0.94%
2020-10-22,458805,459379,459379,459379,0.59%
2020-10-21,456099,456671,456671,456671,0.07%
2020-10-20,455778,456349,456349,456349,0.35%
2020-10-19,454168,454737,454737,454737,0.54%
2020-10-16,451712,450291,452278,450291,0.44%
2020-10-15,449727,450291,450291,450291,0.03%
2020-10-14,449593,450156,450156,450156,-0.48%
2020-10-13,451761,452327,452327,452327,0.00%
2020-10-09,451741,446432,451741,451741,0.49%
2020-10-08,449542,440172,449542,440172,2.03%
2020-10-07,440584,441136,441136,441136,0.22%
2020-10-06,439621,440172,440172,440172,0.67%
2020-10-05,436676,437223,437223,437223,-0.17%
2020-10-02,437421,437969,437969,437969,0.33%
2020-10-01,435961,436132,436507,436132,0.09%
2020-09-30,435586,436132,436132,436132,1.39%
2020-09-29,429594,430132,430132,430132,2.25%
2020-09-28,420141,420667,420667,420667,1.64%
2020-09-25,413343,413861,413861,413861,3.75%
2020-09-24,398398,398897,398897,398897,1.85%
2020-09-23,391148,391638,391638,391638,1.36%
2020-09-22,385901,386385,386385,386385,3.08%
2020-09-21,374374,374843,374843,374843,0.29%
2020-09-18,373301,373768,373768,373768,1.33%
2020-09-17,368403,368865,368865,368865,0.85%
2020-09-16,365311,365769,365769,365769,0.08%
2020-09-15,365012,365470,365470,365470,0.76%
2020-09-11,362257,362711,362711,362711,0.64%
2020-09-10,359953,360404,360404,360404,0.09%
2020-09-09,359613,360064,360064,360064,0.46%
2020-09-08,357958,358407,358407,358407,0.87%
2020-09-07,354854,355299,355299,355299,1.81%
2020-09-04,348558,348995,348995,348995,3.14%
2020-09-03,337931,338355,338355,338355,1.12%
2020-09-02,334184,334602,334602,334602,1.66%
2020-09-01,328729,329141,329141,329141,0.55%
2020-08-31,326930,327339,327339,327339,0.97%
2020-08-28,323800,324206,324206,324206,2.53%
2020-08-27,315799,316194,316194,316194,1.20%
2020-08-26,312060,312451,312451,312451,1.57%
2020-08-25,307221,305874,307606,305874,0.57%
2020-08-24,305492,305874,305874,305874,0.26%
2020-08-21,304689,305071,305071,305071,0.63%
2020-08-20,302779,303159,303159,303159,2.28%
2020-08-19,296027,296398,296398,296398,1.45%
2020-08-18,291797,292162,292162,292162,0.78%
2020-08-17,289551,289914,289914,289914,-1.49%
2020-08-14,293921,294289,294289,294289,2.54%
2020-08-13,286649,283648,287009,283648,1.18%
2020-08-12,283293,283648,283648,283648,-0.04%
2020-08-11,283415,283770,283770,283770,-0.17%
2020-08-10,283890,284246,284246,284246,2.36%
2020-08-07,277344,277691,277691,277691,2.59%
2020-08-06,270355,270693,270693,270693,2.05%
2020-08-05,264934,265266,265266,265266,0.96%
2020-08-04,262413,262741,262741,262741,0.07%
2020-08-03,262233,262233,262233,262233,1.34%
2020-07-31,258772,258772,258772,258772,0.28%
2020-07-30,258042,258042,258042,258042,3.48%
2020-07-29,249369,249369,249369,249369,0.04%
2020-07-28,249269,249269,249269,249269,1.85%
2020-07-27,244750,244750,244750,244750,1.28%
2020-07-23,241668,241668,241668,241668,2.01%
2020-07-22,236914,236914,236914,236914,2.36%
2020-07-21,231460,231460,231460,231460,1.26%
2020-07-20,228574,228574,228574,228574,0.97%
2020-07-17,226377,226377,226377,226377,1.27%
2020-07-16,223544,223544,223544,223544,1.29%
2020-07-15,220708,220708,220708,220708,0.54%
2020-07-14,219525,219525,219525,219525,1.33%
2020-07-13,216635,216635,216635,216635,0.42%
2020-07-10,215723,215723,215723,215723,0.93%
2020-07-09,213739,213739,213739,213739,1.10%
2020-07-08,211410,211278,211410,211410,1.66%
2020-07-07,207956,207956,208217,207956,0.24%
2020-07-06,207463,207463,207463,207463,0.36%
2020-07-03,206712,206712,206712,206712,0.60%
2020-07-02,205476,205476,205476,205476,0.34%
2020-07-01,204772,204772,204772,204772,0.30%
2020-06-30,204162,204162,204162,204162,1.03%
2020-06-26,202079,202079,202079,202079,0.09%
2020-06-25,201904,201904,201904,201904,0.10%
2020-06-23,201709,201709,201709,201709,0.11%
2020-06-22,201486,201486,201486,201486,-0.56%
2020-06-18,202630,202630,202630,202630,-0.28%
2020-06-17,203204,203385,203385,203204,-0.09%
2020-06-16,203385,203385,203385,203385,0.07%
2020-06-15,203251,203251,203251,203251,0.12%
2020-06-12,203003,203003,203003,203003,0.39%
2020-06-11,202212,202212,202212,202212,0.65%
2020-06-10,200915,200915,200915,200915,1.65%
2020-06-09,197646,197646,197646,197646,-0.15%
2020-06-08,197937,197937,197937,197937,-0.42%
2020-06-05,198782,198782,198782,198782,0.19%
2020-06-04,198403,198403,198403,198403,0.58%
2020-06-03,197268,197268,197268,197268,0.17%
2020-06-02,196943,196943,196943,196943,-0.31%
2020-06-01,197548,197548,197548,197548,-0.16%
2020-05-29,197863,197863,197863,197863,0.45%
2020-05-28,196968,196968,196968,196968,0.59%
2020-05-27,195805,193223,195805,193223,1.34%
2020-05-26,193223,193223,193223,193223,0.03%
2020-05-22,193163,187895,193163,187895,2.80%
2020-05-21,187895,187895,187895,187895,2.50%
2020-05-20,183304,183304,183304,183304,0.38%
2020-05-19,182606,182606,182606,182606,-0.27%
2020-05-18,183108,183108,183108,183108,0.16%
2020-05-15,182819,182819,182819,182819,0.76%
2020-05-14,181449,181449,181449,181449,1.47%
2020-05-13,178818,178818,178818,178818,0.29%
2020-05-12,178309,178309,178309,178309,-0.32%
2020-05-11,178881,178881,178881,178881,0.05%
2020-05-08,178795,178795,178795,178795,3.51%
2020-05-07,172737,172737,172737,172737,2.12%
2020-05-06,169152,169152,169152,169152,-1.46%
2020-05-05,171660,171660,171660,171660,-2.02%
2020-05-04,175195,175195,175195,175195,-0.64%
2020-04-30,176317,176317,176317,176317,-0.01%
2020-04-29,176342,176342,176342,176342,0.51%
2020-04-28,175440,175440,175440,175440,3.12%
2020-04-27,170130,170130,170130,170130,-0.43%
2020-04-24,170859,171361,171361,170859,-0.29%
2020-04-23,171361,171361,171361,171361,18.36%
2020-04-22,144776,144776,144776,144776,12.29%
2020-04-21,128932,128932,128932,128932,0.82%
2020-04-20,127884,127884,127884,127884,1.97%
2020-04-17,125417,125417,125417,125417,-0.32%
2020-04-16,125818,120709,125818,120709,4.23%
2020-04-15,120709,120709,120709,120709,6.17%
2020-04-14,113692,113692,113692,113692,7.49%
2020-04-13,105774,105774,105774,105774,4.88%
2020-04-08,100854,100854,100854,100854,4.50%
2020-04-07,96512,96512,96512,96512,5.23%
2020-04-06,91717,91717,91717,91717,5.97%
2020-04-03,86550,86550,86550,86550,2.32%
2020-04-02,84587,84587,84587,84587,1.58%
2020-04-01,83272,83272,83272,83272,3.00%
2020-03-31,80845,80845,80845,80845,0.84%
2020-03-30,80170,80170,80170,80170,3.05%
2020-03-27,77796,77796,77796,77796,5.50%
2020-03-26,73738,73738,73738,73738,3.68%
2020-03-25,71120,71120,71120,71120,0.50%
2020-03-24,70766,70766,70766,70766,1.37%
2020-03-23,69809,69809,69809,69809,-3.27%
2020-03-18,72170,72170,72170,72170,-2.36%
2020-03-17,73915,73915,73915,73915,-0.19%
2020-03-16,74054,74054,74054,74054,0.09%
2020-03-13,73989,73989,73989,73989,0.53%
2020-03-12,73597,73597,73597,73597,0.05%
2020-03-11,73557,73557,73557,73557,0.43%
2020-03-10,73243,73243,73243,73243,0.11%
2020-03-09,73164,73164,73164,73164,0.04%
2020-03-06,73133,73133,73133,73133,0.04%
2020-03-05,73102,73102,73102,73102,-0.62%
2020-03-04,73561,73561,73561,73561,-0.24%
2020-03-03,73737,73737,73737,73737,-0.21%
2020-03-02,73895,73895,73895,73895,-0.14%
2020-02-28,74000,74000,74000,74000,0.60%
2020-02-27,73560,73560,73560,73560,0.07%
2020-02-26,73511,73511,73511,73511,0.34%
2020-02-25,73259,73259,73259,73259,0.00%
2020-02-24,73259,73259,73259,73259,0.00%
2020-02-21,73259,73259,73259,73259,-0.59%
2020-02-20,73695,73695,73695,73695,0.04%
2020-02-19,73668,73668,73668,73668,-0.02%
2020-02-18,73680,73680,73680,73680,0.41%
2020-02-17,73379,73379,73379,73379,0.11%
2020-02-14,73302,73302,73302,73302,-0.26%
2020-02-13,73491,73491,73491,73491,0.13%
2020-02-12,73395,73395,73395,73395,0.43%
2020-02-11,73081,73081,73081,73081,0.17%
2020-02-10,72957,72957,72957,72957,-0.52%
2020-02-07,73339,73339,73339,73339,-0.25%
2020-02-06,73520,73520,73520,73520,0.01%
2020-02-05,73515,73515,73515,73515,0.36%
2020-02-04,73250,73250,73250,73250,0.55%
2020-02-03,72851,72851,72851,72851,-1.47%
2020-01-31,73934,73934,73934,73934,-1.28%
2020-01-30,74896,74896,74896,74896,0.11%
2020-01-29,74810,74810,74810,74810,0.24%
2020-01-28,74634,74634,74634,74634,0.38%
2020-01-27,74351,74351,74351,74351,-0.31%
2020-01-24,74580,74580,74580,74580,0.58%
2020-01-23,74151,74151,74151,74151,0.74%
2020-01-22,73609,73609,73609,73609,0.37%
2020-01-21,73339,73339,73339,73339,-0.96%
2020-01-20,74047,74047,74047,74047,0.00%
2020-01-17,74047,74047,74047,74047,2.65%
2020-01-16,72138,72138,72138,72138,1.43%
2020-01-15,71119,71119,71119,71119,5.00%
2020-01-14,67730,67730,67730,67730,0.00%
2020-01-13,67730,67730,67730,67730,0.89%
2020-01-10,67130,67130,67130,67130,7.89%
2020-01-09,62221,62221,62221,62221,2.15%
2020-01-08,60914,60914,60914,60914,7.49%
2020-01-07,56670,56670,56670,56670,4.22%
2020-01-06,54374,54374,54374,54374,0.00%
2020-01-03,54374,54374,54374,54374,11.77%
2020-01-02,48648,48648,48648,48648,4.48%
2020-01-01,46563,46563,46563,46563,0.00%
2019-12-31,46563,46563,46563,46563,0.00%
2019-12-30,46563,46563,46563,46563,1.63%
2019-12-27,45817,45817,45817,45817,1.36%
2019-12-26,45201,45201,45201,45201,-0.65%
2019-12-25,45496,45496,45496,45496,0.00%
2019-12-24,45496,45496,45496,45496,0.00%
2019-12-23,45496,45496,45496,45496,-2.41%
2019-12-20,46619,46619,46619,46619,-1.04%
2019-12-19,47109,47109,47109,47109,-1.62%
2019-12-18,47883,47883,47883,47883,2.12%
2019-12-17,46888,46888,46888,46888,1.25%
2019-12-16,46309,46309,46309,46309,0.13%
2019-12-13,46246,46246,46246,46246,0.03%
2019-12-12,46234,46234,46234,46234,0.34%
2019-12-11,46077,46077,46077,46077,3.42%
2019-12-10,44555,44555,44555,44555,2.20%
2019-12-09,43597,43597,43597,43597,3.71%
2019-12-06,42035,42035,42035,42035,0.99%
2019-12-05,41623,41623,41623,41623,4.32%
2019-12-04,39898,39898,39898,39898,3.88%
2019-12-03,38408,38408,38408,38408,2.26%
2019-12-02,37559,37559,37559,37559,-3.53%
2019-11-29,38932,38932,38932,38932,2.03%
2019-11-28,38156,38156,38156,38156,4.00%
2019-11-27,36688,36688,36688,36688,3.56%
2019-11-26,35426,35426,35426,35426,6.29%
2019-11-25,33329,33329,33329,33329,2.24%
2019-11-22,32598,32598,32598,32598,1.39%
2019-11-21,32150,32150,32150,32150,0.29%
2019-11-20,32056,32056,32056,32056,5.46%
2019-11-19,30397,30397,30397,30397,5.11%
2019-11-18,28919,28919,28919,28919,-1.46%
2019-11-15,29347,29347,29347,29347,-2.34%
2019-11-14,30048,30048,30048,30048,0.45%
2019-11-13,29912,29912,29912,29912,7.11%
2019-11-12,27927,27927,27927,27927,4.41%
2019-11-11,26748,26748,26748,26748,4.07%
2019-11-08,25702,25702,25702,25702,6.22%
2019-11-07,24198,24198,24198,24198,2.95%
2019-11-06,23504,23504,23504,23504,3.60%
2019-11-05,22688,22688,22688,22688,0.99%
2019-11-04,22466,22466,22466,22466,0.00%
2019-11-01,22466,22466,22466,22466,-3.88%
2019-10-31,23374,23374,23374,23374,-4.15%
2019-10-30,24385,24385,24385,24385,3.43%
2019-10-29,23576,23576,23576,23576,8.98%
2019-10-28,21633,21633,21633,21633,5.89%
2019-10-25,20429,19734,20429,19734,3.52%
2019-10-24,19733,19733,19733,19733,6.30%
2019-10-23,18564,18564,18564,18564,1.12%
2019-10-22,18357,18357,18357,18357,0.03%
2019-10-21,18352,18352,18352,18352,-1.80%
2019-10-18,18687,18687,18687,18687,-2.42%
2019-10-17,19150,19150,19150,19150,1.69%
2019-10-16,18831,18831,18831,18831,-0.53%
2019-10-15,18931,18931,18931,18931,-0.37%
2019-10-14,19002,19002,19002,19002,-3.59%
2019-10-11,19709,19709,19709,19709,1.65%
2019-10-10,19389,19389,19389,19389,-1.74%
2019-10-09,19734,19734,19734,19734,0.48%
2019-10-08,19639,19639,19639,19639,-2.23%
2019-10-07,20088,20088,20088,20088,-0.52%
2019-10-04,20193,20193,20193,20193,0.27%
2019-10-03,20138,20229,20229,20138,-0.45%
2019-10-02,20229,20229,20229,20229,-0.84%
2019-10-01,20400,20400,20400,20400,-1.55%
2019-09-30,20720,20720,20720,20720,-1.34%
2019-09-27,21002,20878,21002,20878,0.60%
2019-09-26,20878,20878,20878,20878,0.94%
2019-09-25,20682,20682,20682,20682,3.60%
2019-09-24,19964,19964,19964,19964,1.10%
2019-09-23,19745,19745,19745,19745,0.28%
2019-09-20,19691,19847,19847,19691,-0.79%
2019-09-19,19847,19847,19847,19847,0.16%
2019-09-18,19815,19815,19815,19815,-0.25%
2019-09-17,19864,19864,19864,19864,-7.73%
2019-09-16,21528,21528,21528,21528,0.00%
2019-09-13,21528,21528,21528,21528,0.52%
2019-09-12,21418,21418,21418,21418,1.02%
2019-09-11,21202,21202,21202,21202,0.22%
2019-09-10,21155,21155,21155,21155,3.29%
