Date,Price,Open,High,Low,Vol.,Change %
2021-07-13,627730,660000,660000,600000,0.01K,4.80%
2021-07-09,599000,599000,599000,599000,0.09K,15.19%
2021-07-07,520000,520000,520000,520000,0.90K,3.79%
2021-07-06,501000,501000,501000,501000,0.40K,2.24%
2021-07-02,490000,490000,490000,490000,1.00K,5.36%
2021-06-18,465090,340000,483000,340000,0.11K,-15.85%
2021-06-16,552700,625000,625000,403010,0.03K,-12.15%
2021-06-11,629170,700000,700000,625000,0.57K,-3.20%
2021-06-10,650000,650000,650000,650000,0.03K,4.84%
2021-06-09,620000,620000,620000,620000,0.08K,0.81%
2021-05-31,615000,615000,615000,615000,0.00K,0.00%
2021-05-27,615000,615000,615000,615000,0.05K,-0.73%
2021-05-26,619550,620000,620000,615000,0.06K,1.33%
2021-05-25,611430,620000,620000,608000,0.14K,0.32%
2021-05-21,609500,595000,620000,595000,0.41K,1.47%
2021-05-20,600680,600000,605000,600000,0.22K,2.24%
2021-05-19,587500,595000,595000,580000,0.01K,-1.51%
2021-05-18,596490,600000,600000,595000,0.13K,0.25%
2021-05-17,595000,595000,595000,595000,0.01K,0.42%
2021-05-14,592500,595000,595000,590000,0.04K,-0.92%
2021-05-13,598000,595000,600000,595000,0.54K,-0.33%
2021-05-12,600000,600000,600000,600000,0.50K,0.00%
2021-05-11,600000,600000,600000,600000,0.10K,-1.39%
2021-05-10,608450,600000,660000,600000,0.21K,10.98%
2021-05-06,548270,510000,606000,510000,2.00K,9.36%
2021-05-04,501330,498000,505000,498000,0.12K,20.82%
2021-04-30,414930,414000,415000,414000,2.17K,10.94%
2021-04-29,374000,374000,374000,374000,0.50K,13.83%
2021-04-28,328550,311990,374380,311990,6.36K,8.03%
2021-04-27,304120,301000,311990,301000,2.33K,-1.64%
2021-04-26,309180,310000,312000,300010,6.72K,14.02%
2021-04-23,271160,269000,300000,269000,12.54K,8.69%
2021-04-22,249490,241000,260000,241000,10.86K,4.23%
2021-04-21,239370,238300,241000,238300,10.54K,0.49%
2021-04-20,238200,238500,238500,238200,6.41K,0.33%
2021-04-16,237410,235000,239000,235000,20.17K,1.61%
2021-04-15,233640,233000,234000,233000,3.13K,0.32%
2021-04-14,232890,232000,233000,232000,1.02K,0.38%
2021-04-13,232000,232000,232000,232000,1.73K,0.10%
2021-04-12,231770,231000,232000,231000,3.89K,1.47%
2021-04-09,228420,231000,231000,228000,0.71K,-1.12%
2021-04-08,231000,231000,231000,231000,0.47K,1.48%
2021-04-07,227640,227000,231000,225000,15.85K,0.74%
2021-04-06,225960,226000,227000,225000,2.91K,0.43%
2021-04-05,225000,225000,225000,225000,7.56K,0.00%
2021-03-31,224990,224990,224990,224990,2.30K,0.00%
2021-03-30,224990,224990,224990,224990,0.02K,0.05%
2021-03-29,224880,220000,225000,220000,4.25K,0.88%
2021-03-26,222910,230000,230000,220000,1.42K,-1.31%
2021-03-25,225860,225000,250000,225000,2.92K,0.21%
2021-03-24,225380,224000,225600,224000,2.33K,37.91%
2021-03-23,163430,157500,188000,157500,0.07K,7.78%
2021-03-22,151630,137000,157500,137000,16.02K,12.00%
2021-03-18,135380,135000,137000,130000,6.17K,4.14%
2021-03-17,130000,130000,130000,130000,0.05K,21.88%
2021-03-15,106660,105000,109000,105000,17.94K,6.12%
2021-03-11,100510,100000,104000,100000,11.73K,-4.28%
2021-03-09,105000,105000,105000,105000,0.00K,0.00%
2021-03-08,105000,105000,105000,105000,10.43K,1.28%
2021-03-05,103670,102990,104990,102990,10.32K,0.66%
2021-03-04,102990,102990,102990,102990,0.01K,3.03%
2021-03-03,99960,99000,100000,99000,0.57K,4.14%
2021-03-02,95990,82570,99000,82570,1.10K,16.25%
2021-03-01,82570,82570,82570,82570,11.12K,0.66%
2021-02-26,82030,82000,82570,82000,5.31K,-0.68%
2021-02-24,82590,82590,82590,82580,0.03K,2.71%
2021-02-23,80410,82590,82590,80000,9.54K,0.00%
2021-02-22,80410,82590,82590,79700,1.07K,2.38%
2021-02-19,78540,78090,79690,78090,5.43K,3.33%
2021-02-17,76012,75982,78072,75982,5.08K,-2.66%
2021-02-12,78090,78090,78090,78090,1.38K,4.05%
2021-02-11,75050,78090,78090,75000,2.67K,0.07%
2021-02-10,75000,75000,75000,75000,0.50K,-0.09%
2021-02-09,75070,75000,77980,75000,1.32K,-3.87%
2021-02-08,78090,78090,78090,78000,10.23K,0.00%
2021-02-05,78090,78090,78090,78090,4.97K,0.03%
2021-02-04,78070,75000,78090,75000,0.51K,4.09%
2021-02-03,75000,75000,75000,75000,1.53K,-3.96%
2021-02-02,78090,78090,78090,78090,0.10K,0.00%
2021-01-29,78090,78090,78090,78090,0.01K,4.12%
2021-01-28,75000,75000,75000,75000,20.00K,0.00%
2021-01-27,75000,75000,75000,75000,29.16K,-0.19%
2021-01-26,75140,78090,78090,75000,0.07K,-1.13%
2021-01-25,76000,76000,76000,75990,0.22K,-0.73%
2021-01-21,76560,77000,77000,76000,0.01K,9.37%
2021-01-19,70000,70000,70000,70000,0.21K,0.00%
2021-01-15,70000,70000,70000,70000,0.01K,0.00%
2021-01-14,70000,70000,70000,70000,0.07K,-1.16%
2021-01-13,70820,72500,72500,69900,0.17K,-8.61%
2021-01-12,77490,78090,78100,75000,16.72K,23.43%
