Date,Price,Open,High,Low,Vol.,Change %
2021-04-21,419080,430000,430000,415000,3.82K,5.78%
2021-04-20,396170,390000,419990,390000,1.77K,3.50%
2021-04-16,382760,380000,390000,380000,1.21K,2.07%
2021-04-15,375000,375000,375000,375000,2.20K,1.35%
2021-04-14,370000,370000,370000,370000,5.95K,0.00%
2021-04-13,370000,370000,370000,370000,0.00K,0.00%
2021-04-12,370000,370000,370000,370000,1.98K,1.75%
2021-04-09,363630,360000,370000,360000,2.37K,6.89%
2021-04-08,340190,330000,350000,330000,3.79K,6.34%
2021-04-07,319920,315000,325000,315000,2.37K,3.80%
2021-04-06,308210,305000,310000,305000,3.74K,1.05%
2021-04-05,305000,305000,305000,305000,22.56K,0.00%
2021-03-31,305000,305000,305000,305000,0.15K,1.67%
2021-03-29,300000,300000,300000,300000,3.19K,2.92%
2021-03-26,291500,280000,300000,280000,6.09K,4.11%
2021-03-25,280000,280000,280000,280000,0.01K,3.10%
2021-03-24,271570,275000,275000,270000,3.96K,0.79%
2021-03-23,269440,269000,270000,269000,1.37K,7.21%
2021-03-22,251320,245000,254000,245000,3.78K,4.28%
2021-03-18,241000,240000,245000,240000,5.01K,1.12%
2021-03-17,238320,234000,242000,234000,5.39K,3.10%
2021-03-16,231150,230000,232000,230000,2.60K,2.43%
2021-03-15,225660,230000,230000,225000,1.96K,2.58%
2021-03-12,219980,218000,222000,218000,1.68K,7.83%
2021-03-11,204000,200000,210000,200000,2.50K,7.37%
2021-03-08,190000,190000,190000,190000,1.67K,0.00%
2021-03-05,190000,190000,190000,190000,2.91K,0.00%
2021-03-03,190000,190000,190000,190000,0.00K,2.29%
2021-03-02,185740,183000,190000,183000,41.60K,1.60%
2021-03-01,182810,182000,183000,182000,2.69K,0.15%
2021-02-26,182540,182000,183000,182000,2.18K,0.30%
2021-02-25,182000,182000,182000,182000,0.21K,0.00%
2021-02-24,182000,182000,182000,182000,9.97K,0.47%
2021-02-23,181150,181000,182000,181000,2.68K,0.96%
2021-02-22,179430,178000,181000,177000,11.72K,1.99%
2021-02-19,175930,174990,177000,174990,9.03K,1.11%
2021-02-18,174000,173990,174000,173990,4.68K,0.01%
2021-02-17,173990,174000,174000,173990,1.24K,2.27%
2021-02-12,170130,170000,173990,170000,0.90K,-1.69%
2021-02-11,173060,174000,174000,172000,17.01K,-0.54%
2021-02-10,174000,174000,174000,174000,0.01K,0.01%
2021-02-09,173980,173980,174000,173950,0.95K,0.00%
2021-02-08,173980,173980,174000,173980,1.97K,4.81%
2021-02-05,166000,166000,166000,166000,0.05K,-2.62%
2021-02-04,170470,160000,173990,160000,0.83K,32.72%
2021-02-03,128440,125500,148800,125500,7.11K,4.55%
2021-02-02,122850,121990,124000,121990,7.96K,1.98%
2021-02-01,120470,120000,122000,120000,4.30K,3.61%
2021-01-29,116270,115000,118000,115000,15.25K,1.54%
2021-01-28,114510,114000,115000,114000,3.90K,0.45%
2021-01-27,114000,114000,114000,114000,0.43K,0.55%
2021-01-26,113380,113000,114000,113000,8.98K,0.35%
2021-01-22,112990,112990,112990,112990,0.01K,-0.01%
2021-01-21,113000,113000,113000,113000,0.01K,2.29%
2021-01-20,110470,110000,113000,110000,5.88K,0.37%
2021-01-19,110060,110000,110500,110000,1.09K,0.05%
2021-01-15,110000,110000,110000,110000,0.01K,0.00%
2021-01-14,110000,110000,110000,110000,0.02K,-0.24%
2021-01-13,110270,110000,113000,110000,0.46K,-2.42%
2021-01-12,113000,113000,113000,113000,2.44K,0.00%
2021-01-08,113000,113000,113000,113000,0.62K,2.62%
2021-01-07,110120,108500,113000,108500,28.21K,1.96%
2021-01-06,108000,108000,108000,108000,0.35K,-0.46%
2021-01-05,108500,108500,108500,108500,1.80K,0.00%
2020-12-30,108500,108500,108500,108500,0.03K,0.12%
2020-12-29,108370,108300,108500,108300,2.83K,0.06%
2020-12-28,108300,108300,108300,108300,0.00K,0.01%
2020-12-22,108290,108200,108300,108200,2.15K,0.24%
2020-12-21,108030,108000,108300,108000,2.79K,0.96%
2020-12-18,107000,108000,108000,105000,0.96K,"98,983.25%"
2020-12-17,108,108,108,108,0.15K,2.67%
2020-12-16,105,108,108,105,5.28K,-2.61%
2020-12-15,108,108,108,108,0.83K,-1.13%
2020-12-11,109,110,110,105,0.03K,-0.70%
2020-12-10,110,110,110,110,0.02K,-1.04%
2020-12-09,111,112,112,110,2.39K,2.72%
2020-12-08,108,104,112,104,1.70K,-8.64%
2020-12-07,118,120,120,104,5.32K,39.23%
2020-12-04,85,58,120,58,22.03K,69.48%
2020-12-03,50,43,58,43,0.02K,24.97%
2020-12-02,40,40,40,40,15.56K,-99.88%
2020-11-27,33500,33500,33500,33500,0.28K,0.00%
2020-11-26,33500,33500,33500,33500,0.01K,12.42%
2020-11-25,29800,29800,29800,29800,0.01K,2.95%
2020-11-24,28945,28100,29800,28100,28.69K,3.38%
2020-11-20,27999,27900,28000,27900,2.80K,0.36%
2020-11-19,27900,27900,27900,27900,0.33K,0.48%
2020-11-18,27767,27700,27900,27700,1.06K,0.42%
2020-11-16,27650,27650,27650,27650,0.69K,0.00%
2020-11-12,27650,27650,27650,27650,0.02K,1.43%
2020-11-09,27261,27250,27650,27250,0.53K,-1.23%
2020-11-05,27600,27600,27600,27600,0.36K,0.18%
2020-11-03,27550,27550,27550,27550,1.59K,0.00%
2020-11-02,27550,27550,27550,27550,0.00K,0.00%
2020-10-30,27550,27550,27550,27550,0.05K,0.19%
2020-10-29,27497,27450,27550,27450,0.74K,1.84%
2020-10-27,27000,27000,27000,27000,0.01K,0.00%
2020-10-23,27000,27000,27000,27000,7.32K,0.00%
2020-10-21,27000,27000,27000,27000,0.25K,0.00%
2020-10-20,27000,27000,27000,27000,1.00K,-0.92%
2020-10-19,27250,27250,27250,27250,1.99K,0.93%
2020-10-16,27000,27000,27000,27000,0.50K,-1.15%
2020-10-15,27314,27350,27450,27000,9.17K,-0.13%
2020-10-09,27350,27350,27350,27350,32.65K,0.21%
2020-10-08,27292,27200,27350,27200,4.34K,0.71%
2020-10-07,27100,27100,27100,27100,1.66K,0.00%
2020-10-06,27100,27100,27100,27100,0.00K,0.00%
2020-10-05,27100,27100,27100,27100,4.81K,0.00%
2020-10-02,27100,27100,27100,27100,0.07K,0.00%
2020-10-01,27100,23001,27100,27100,0.03K,0.45%
2020-09-29,26978,27100,27100,26900,23.39K,-0.08%
2020-09-28,27000,27000,27000,27000,0.05K,-2.84%
2020-09-23,27790,27790,27790,27790,1.05K,0.00%
2020-09-22,27790,27790,27790,27790,0.40K,-0.75%
2020-09-18,27999,27999,27999,27999,0.22K,1.81%
2020-09-16,27502,27000,28000,27000,0.20K,1.86%
2020-09-15,27000,27000,27000,27000,0.03K,3.55%
2020-09-11,26075,28000,28000,22800,13.35K,-6.88%
2020-09-10,28000,28000,28000,28000,0.37K,0.00%
2020-09-08,28000,28000,28000,28000,0.03K,-0.15%
2020-09-07,28043,28490,28490,28000,0.03K,-1.60%
2020-09-04,28499,28499,28499,28499,0.05K,0.00%
2020-09-02,28500,28500,28500,28500,0.22K,1.79%
2020-09-01,28000,28000,28000,28000,0.02K,-6.67%
2020-08-31,30000,30000,30000,30000,0.03K,0.00%
2020-08-26,30000,30000,30000,30000,0.03K,8.40%
2020-08-25,27675,27000,30000,27000,5.69K,-3.74%
2020-08-24,28751,29000,29000,28500,2.21K,2.05%
2020-08-21,28173,28000,28500,28000,0.21K,2.52%
2020-08-20,27481,27000,28000,27000,3.87K,6.62%
2020-08-19,25775,25000,26500,25000,18.11K,6.71%
2020-08-18,24155,24000,25000,24000,1.74K,3.72%
2020-08-17,23289,22500,24100,22500,3.15K,9.11%
2020-08-14,21344,21000,21700,21000,0.47K,4.21%
2020-08-13,20481,20300,20500,20300,2.21K,0.89%
2020-08-12,20300,20300,20300,20300,0.04K,12.78%
2020-08-10,18000,18000,18000,18000,0.59K,0.59%
2020-08-07,17895,17800,18000,17800,0.80K,2.84%
2020-08-06,17400,17400,17400,17400,0.50K,1.31%
2020-08-03,17176,17000,17400,17000,18.64K,1.03%
2020-07-31,17000,17000,17000,17000,0.01K,3.68%
2020-07-30,16397,16200,16600,16200,3.41M,5.78%
2020-07-29,15501,15500,16200,15500,3.38K,0.01%
2020-07-28,15500,15500,15500,15500,0.00K,0.00%
2020-07-23,15500,15500,15500,15500,6.45K,3.46%
2020-07-22,14982,14800,15000,14800,5.74K,3.26%
2020-07-21,14509,14150,14800,14000,18.22K,2.17%
2020-07-20,14200,14200,14200,14200,3.19K,1.43%
2020-07-17,14000,14000,14000,14000,0.15K,0.00%
2020-07-16,14000,14001,14001,14000,3.36K,0.01%
2020-07-15,13999,14000,14000,13999,0.35K,-1.41%
2020-07-14,14200,14200,14200,14200,0.26K,14.59%
2020-07-10,12392,14200,14200,12000,1.20K,-8.20%
2020-07-09,13500,13500,13500,13500,50.00K,-3.93%
2020-07-08,14053,14200,14200,13550,1.32K,-1.04%
2020-07-07,14200,14200,14200,14200,3.02K,5.19%
2020-07-06,13500,13500,14000,13500,103.97K,-5.59%
2020-07-01,14300,14300,14300,14300,0.39K,2.12%
