Date,Price,Open,High,Low,Vol.,Change %
2017-08-22,6300,6400,6400,6300,1.20K,5.00%
2017-08-21,6000,6000,6000,6000,0.14K,9.09%
2017-08-16,5500,5500,5500,5500,0.04K,-14.05%
2017-08-15,6399,6399,6399,6399,0.01K,0.00%
2017-08-11,6399,6399,6399,6399,1.95K,10.33%
2017-08-09,5800,5800,5800,5800,0.17K,0.00%
2017-08-08,5800,6000,6000,5800,3.68K,-7.94%
2017-08-07,6300,6200,6300,6200,1.19K,5.00%
2017-08-04,6000,5200,6000,5200,0.06K,20.00%
2017-08-03,5000,4400,5000,4400,1.10K,16.28%
2017-08-02,4300,4300,4350,4300,0.42K,0.00%
2017-07-31,4300,4350,4350,4300,7.89K,-1.15%
2017-07-28,4350,4350,4350,4350,1.85K,1.16%
2017-07-25,4300,4300,4300,4300,17.55K,0.00%
2017-07-21,4300,4300,4300,4300,0.13K,-1.15%
2017-07-19,4350,4350,4350,4350,0.02K,2.11%
2017-07-18,4260,4300,4300,4260,0.05K,-2.07%
2017-07-17,4350,4350,4350,4350,0.05K,2.35%
2017-07-14,4250,4300,4300,4300,0.01K,0.00%
2017-07-13,4250,4297,4297,4250,1.26K,18.06%
2017-07-11,3600,3600,3600,3600,0.35K,0.00%
2017-07-07,3600,3600,3600,3600,0.02K,-16.28%
2017-07-06,4300,4400,4400,4300,1.03K,-2.27%
2017-07-04,4400,4400,4400,4400,0.10K,0.00%
2017-06-29,4400,4400,4400,4350,1.52K,2.33%
2017-06-28,4300,4300,4350,4300,1.25K,-1.15%
2017-06-27,4350,4350,4350,4350,0.10K,0.00%
2017-06-26,4350,4300,4350,4300,1.30K,1.16%
2017-06-23,4300,4300,4300,4300,0.57K,-4.44%
2017-06-22,4500,4500,4500,4500,-,-2.17%
2017-06-21,4600,4600,4600,4600,0.51K,4.55%
2017-06-20,4400,4000,4400,4000,4.19K,10.00%
2017-06-16,4000,3900,4000,3900,1.62K,5.26%
2017-06-15,3800,3750,3800,3750,9.01K,2.70%
2017-06-14,3700,3600,3700,3600,2.01K,2.78%
2017-06-13,3600,3150,3600,3150,10.89K,14.29%
2017-06-12,3150,3150,3150,3150,0.49K,1.61%
2017-06-09,3100,3100,3100,3100,6.55K,0.00%
2017-06-08,3100,3050,3200,3050,1.35K,1.64%
2017-06-07,3050,3000,3050,3000,7.10K,1.67%
2017-06-06,3000,3000,3000,3000,1.00K,0.00%
2017-06-02,3000,3000,3100,3000,2.50K,0.00%
2017-06-01,3000,3000,3000,3000,0.70K,0.00%
2017-05-31,3000,3000,3000,3000,0.80K,0.00%
2017-05-30,3000,3000,3000,3000,1.45K,0.00%
2017-05-26,3000,3000,3000,3000,1.74K,0.00%
2017-05-25,3000,3000,3000,3000,2.46K,1.69%
2017-05-24,2950,2950,2950,2950,1.66K,1.72%
2017-05-22,2900,3000,3000,2900,1.99K,-3.33%
2017-05-19,3000,3100,3100,3000,2.40K,7.14%
2017-05-18,2800,2800,2800,2800,-,-6.67%
2017-05-17,3000,3000,3000,3000,0.08K,0.00%
2017-05-16,3000,3100,3100,3000,0.83K,-3.23%
2017-05-15,3100,3100,3100,3100,0.01K,3.33%
2017-05-11,3000,3000,3000,3000,0.03K,0.00%
2017-05-10,3000,2900,3000,2700,0.68K,11.11%
2017-05-09,2700,2500,2700,2500,2.84K,-3.57%
2017-05-05,2800,2500,2800,2500,0.06K,12.45%
2017-05-04,2490,2490,2490,2490,2.73K,3.75%
2017-05-03,2400,2400,2400,2400,1.05K,0.00%
2017-05-02,2400,2200,2400,2200,0.55K,2.13%
2017-04-28,2350,2350,2350,2350,0.01K,11.90%
2017-04-27,2100,2100,2100,2100,0.50K,-12.50%
2017-04-26,2400,2100,2400,2100,2.13K,14.29%
2017-04-25,2100,2050,2100,2050,1.70K,5.00%
2017-04-24,2000,2000,2100,2000,3.39K,0.00%
2017-04-21,2000,2000,2000,2000,1.10K,2.56%
2017-04-20,1950,1950,1950,1950,1.26K,2.63%
2017-04-18,1900,1900,1900,1900,1.39K,0.00%
2017-04-17,1900,1900,1900,1900,0.01K,0.00%
2017-04-12,1900,1900,1900,1900,0.20K,2.70%
2017-04-11,1850,1850,1850,1850,1.38K,0.00%
2017-04-10,1850,1850,1850,1850,2.54K,0.00%
2017-04-07,1850,1850,1850,1850,0.20K,2.78%
2017-04-06,1800,1850,1850,1800,1.10K,2.86%
2017-04-05,1750,1850,1850,1750,0.30K,-2.78%
2017-04-04,1800,1750,1800,1750,4.90K,5.88%
2017-04-03,1700,1650,1700,1650,6.20K,0.00%
2017-03-30,1700,1700,1700,1700,6.53K,3.03%
2017-03-29,1650,1650,1650,1650,1.52K,-2.94%
2017-03-28,1700,1650,1700,1650,4.21K,3.03%
2017-03-27,1650,1450,1650,1600,8.85K,0.00%
2017-03-24,1650,1650,1650,1650,0.80K,-2.94%
2017-03-23,1700,1600,1700,1600,5.25K,6.25%
2017-03-22,1600,1649,1650,1600,2.46K,0.00%
2017-03-21,1600,1600,1600,1600,3.00K,0.00%
2017-03-17,1600,1600,1600,1600,2.83K,0.00%
2017-03-16,1600,1600,1600,1600,2.10K,0.00%
2017-03-14,1600,1600,1600,1600,1.22K,0.00%
2017-03-10,1600,1600,1600,1600,1.72K,0.63%
2017-03-08,1590,1590,1590,1590,3.63K,6.00%
2017-03-06,1500,1250,1500,1250,2.54K,20.00%
2017-03-03,1250,1250,1250,1250,1.64K,0.00%
2017-03-02,1250,1250,1250,1250,0.29K,0.00%
2017-03-01,1250,1250,1250,1250,0.08K,4.17%
2017-02-23,1200,1344,1344,1200,0.93K,-16.67%
2017-02-22,1440,1440,1440,1440,0.12K,-9.09%
2017-02-20,1584,1536,1584,1584,1.96K,0.00%
2017-02-17,1584,1056,1591,1056,1.88K,71.88%
2017-02-16,922,922,922,922,0.49K,4.35%
2017-02-15,883,883,883,883,0.50K,0.00%
2017-02-14,883,883,883,883,0.05K,2.22%
2017-02-13,864,864,883,864,0.21K,-1.82%
2017-02-10,880,880,880,880,1.10K,0.00%
2017-02-09,880,880,880,880,0.05K,0.00%
2017-02-08,880,880,880,880,0.10K,0.00%
2017-02-06,880,880,880,880,0.22K,10.00%
2017-02-03,800,800,800,800,2.10K,0.00%
2017-02-02,800,800,801,800,5.15K,6.67%
2017-01-31,750,750,750,750,0.20K,7.14%
2017-01-27,700,700,700,700,0.03K,6.06%
2017-01-26,660,640,660,640,5.10K,-5.71%
2017-01-25,700,700,700,700,-,9.38%
2017-01-23,640,640,640,640,0.86K,-1.54%
2017-01-20,650,651,651,650,0.09K,0.00%
2017-01-18,650,650,650,650,0.06K,1.40%
2017-01-13,641,641,641,641,-,0.00%
2017-01-12,641,800,800,641,3.90K,-19.88%
2017-01-11,800,800,800,800,0.05K,8.84%
2017-01-10,735,735,735,735,0.09K,-3.29%
2017-01-06,760,760,760,760,0.20K,-18.98%
2016-12-30,938,938,938,938,0.03K,0.00%
2016-12-29,938,938,938,938,0.02K,4.22%
2016-12-28,900,938,938,938,0.00K,0.00%
2016-12-27,900,900,900,900,1.64K,-5.26%
2016-12-16,950,950,950,950,-,18.75%
2016-12-15,800,900,900,800,3.96K,0.00%
2016-12-14,800,800,800,800,0.60K,-19.92%
2016-12-13,999,999,999,999,0.04K,-0.10%
2016-12-09,1000,1000,1000,1000,0.59K,0.00%
2016-12-07,1000,1000,1000,1000,0.02K,5.26%
2016-12-06,950,910,950,910,0.35K,4.40%
2016-12-05,910,910,910,910,7.39K,0.00%
2016-12-02,910,910,910,910,4.57K,-9.00%
2016-12-01,1000,880,1000,840,0.64K,19.05%
2016-11-30,840,840,880,840,0.51K,5.00%
2016-11-29,800,800,800,800,6.53K,2.56%
2016-11-28,780,780,780,780,0.03K,11.43%
2016-11-24,700,700,700,700,0.77K,0.72%
2016-11-23,695,695,695,695,-,0.72%
2016-11-22,690,690,700,690,0.45K,-1.43%
2016-11-21,700,701,701,700,2.11K,0.00%
2016-11-18,700,700,700,700,0.30K,-12.50%
2016-11-17,800,800,800,800,0.02K,14.29%
2016-11-16,700,700,700,700,2.74K,0.00%
2016-11-14,700,669,700,669,4.99K,6.06%
2016-11-11,660,660,660,660,3.05K,0.76%
2016-11-10,655,560,655,560,12.99K,16.96%
2016-11-09,560,530,560,530,0.80K,7.69%
2016-11-08,520,520,520,520,0.40K,4.84%
2016-11-04,496,496,508,496,4.41K,-2.36%
2016-11-03,508,508,508,508,107.50K,-0.39%
2016-11-02,510,510,510,510,0.13K,2.00%
2016-11-01,500,460,500,460,0.25K,-1.96%
2016-10-31,510,510,510,510,0.05K,0.00%
